route,Response Time (ms),responseCode
/matmul,9974.580934271216,0
/matmul,10226.12232528627,0
/matmul,10228.249040432274,0
/matmul,10229.863858781755,0
/matmul,10231.67048767209,0
/matmul,10234.113243408501,0
/matmul,10481.789811514318,0
/matmul,10486.015683971345,0
/matmul,10733.448148705065,0
/matmul,10731.901216320693,0
/matmul,10733.57783909887,0
/matmul,10736.214653588831,0
/matmul,10737.917047925293,0
/matmul,10739.944535307586,0
/matmul,10988.958952948451,0
/matmul,11240.246469154954,0
/matmul,11245.82263827324,0
/matmul,11749.041180126369,0
/matmul,11751.63983553648,0
/matmul,14050.548112019897,0
/matmul,14115.021688863635,200
/matmul,12143.445573747158,200
/matmul,12181.29388988018,200
/matmul,12215.501358732581,200
/matmul,12314.208453521132,200
/matmul,12388.704556971788,200
/matmul,13436.756581068039,200
/matmul,13468.754049390554,200
/matmul,13524.903474375606,200
/matmul,13599.067629314959,200
/matmul,14621.951055712998,200
/matmul,14663.478658534586,200
/matmul,14689.397775568068,200
/matmul,14732.695633545518,200
/matmul,14790.037758648396,200
/matmul,14427.886946126819,0
/matmul,14830.999130383134,200
/matmul,14974.542598240077,200
/matmul,15010.792993940413,200
/matmul,14111.989089287817,0
/matmul,15111.08110845089,200
/matmul,15146.196744404733,200
/matmul,15184.307598508894,200
/matmul,15228.737585246563,200
/matmul,15330.018016509712,200
/matmul,15357.321937568486,200
/matmul,15414.68168888241,200
/matmul,15474.04099535197,200
/matmul,15527.79400255531,200
/matmul,14584.89986229688,0
/matmul,14584.21194832772,0
/matmul,15623.8954635337,200
/matmul,15653.584942221642,200
/matmul,15694.539703428745,200
/matmul,15724.131560884416,200
/matmul,14771.24865911901,200
/matmul,14828.96732725203,200
/matmul,14842.890406027436,0
/matmul,14843.294492922723,0
/matmul,14845.077682286501,0
/matmul,15056.151632219553,200
/matmul,15091.543892398477,0
/matmul,15122.725929133594,200
/matmul,15177.049098536372,200
/matmul,15233.227256685495,200
/matmul,11300.366816110909,200
/matmul,15286.76665108651,200
/matmul,15315.284783020616,200
/matmul,14378.439982421696,200
